name_of_covered_entity,state,covered_entity_type,individuals_affected,breach_submission_date,type_of_breach,location_of_breached_information
Cadence Bank,MS,Business Associate,13862.0,10/27/2023,Hacking/IT Incident,Network Server
"Greater Rochester Independent Practice Association, Inc.",NY,Healthcare Provider,279156.0,10/26/2023,Hacking/IT Incident,Network Server
Western Washington Medical Group ,MS,Healthcare Provider,350863.0,10/26/2023,Hacking/IT Incident,Network Server
"Fredericksburg Foot & Ankle Center, PLC",VA,Healthcare Provider,14912.0,10/25/2023,Hacking/IT Incident,Network Server
"Edward C. Taylor, PhD",FL,Healthcare Provider,6684.0,10/25/2023,Hacking/IT Incident,Network Server
LCS Financial Services,CO,Business Associate,768.0,10/24/2023,Hacking/IT Incident,Network Server
"MNGI Digestive Health, PA",MN,Healthcare Provider,767670.0,10/24/2023,Hacking/IT Incident,Network Server
eleHealth,LA,Business Associate,2187.0,10/24/2023,Unauthorized Access/Disclosure,Paper/Films
University of Michigan,MI,Healthcare Provider,61033.0,10/23/2023,Hacking/IT Incident,Network Server
Dakota Eye Institute,ND,Healthcare Provider,107143.0,10/23/2023,Hacking/IT Incident,Network Server
La Red Health Center,DE,Healthcare Provider,39759.0,10/20/2023,Hacking/IT Incident,Network Server
McLaren Health Care,MI,Healthcare Provider,2103881.0,10/20/2023,Hacking/IT Incident,Network Server
Morrison Child and Family Services,OR,Healthcare Provider,2044.0,10/20/2023,Hacking/IT Incident,Network Server
City of Philadelphia ,PA,Health Plan,6107.0,10/20/2023,Hacking/IT Incident,Email
Radius Global Solutions,PA,Business Associate,135742.0,10/19/2023,Hacking/IT Incident,Network Server
Counseling and Recovery Services of Oklahoma,OK,Healthcare Provider,3365.0,10/19/2023,Hacking/IT Incident,Email
Napa Integrated Medicine PC,CA,Business Associate,600.0,10/19/2023,Theft,Desktop Computer
Oscar Insurance Company of Florida,NY,Health Plan,1399.0,10/19/2023,Hacking/IT Incident,Network Server
"Singing River Health System and its wholly owned subsidiary, Singing River Gulfport",MS,Healthcare Provider,895204.0,10/18/2023,Hacking/IT Incident,Network Server
Helping the Aging Needy and Disabled Inc,TX,Healthcare Provider,628.0,10/18/2023,Hacking/IT Incident,Email
Peerstar LLC,PA,Healthcare Provider,11438.0,10/16/2023,Hacking/IT Incident,Network Server
Pacific Clear Vision Institute,OR,Healthcare Provider,626.0,10/15/2023,Unauthorized Access/Disclosure,Email
"Westat, Inc.",MD,Business Associate,51513.0,10/13/2023,Hacking/IT Incident,Network Server
Atlas Healthcare Group,CT,Healthcare Provider,10831.0,10/13/2023,Hacking/IT Incident,Network Server
NASCO,GA,Business Associate,1744655.0,10/10/2023,Hacking/IT Incident,Network Server
"BHS Physician Network, Inc. ",TX,Healthcare Provider,1857.0,10/10/2023,Hacking/IT Incident,Email
Data Media Associates,GA,Business Associate,2035.0,10/9/2023,Unauthorized Access/Disclosure,Paper/Films
Fellowship Village,NJ,Healthcare Provider,501.0,10/8/2023,Hacking/IT Incident,Network Server
Brooklyn Premier Orthopedics,NY,Healthcare Provider,48459.0,10/6/2023,Hacking/IT Incident,Network Server
"Neurovative Diagnostics, LLC",TX,Healthcare Provider,1599.0,10/5/2023,Unauthorized Access/Disclosure,Email
Carle Health ,IL,Healthcare Provider,679.0,10/5/2023,Hacking/IT Incident,Network Server
Responsive Care Solutions,FL,Business Associate,5200.0,10/5/2023,Unauthorized Access/Disclosure,Paper/Films
Walmart Associates Health and Welfare Plan,AR,Health Plan,85952.0,10/4/2023,Hacking/IT Incident,Network Server
Borgfeld Dental Center PLLC dba Henwood Family Dentistry,TX,Healthcare Provider,7300.0,10/2/2023,Hacking/IT Incident,Network Server
"Prospect Medical Holdings, Inc.",CA,Business Associate,1309096.0,9/29/2023,Hacking/IT Incident,Network Server
"Piedmont Healthcare, Inc.",GA,Healthcare Provider,895.0,9/29/2023,Hacking/IT Incident,Network Server
Valley Mountain Regional Center ,CA,Business Associate,126679.0,9/29/2023,Hacking/IT Incident,Network Server
"H3- Hope, Healing, Health Inc.",MI,Healthcare Provider,1586.0,9/29/2023,Hacking/IT Incident,Email
"Physio Logic Medicine, PC",NY,Healthcare Provider,1280.0,9/29/2023,Hacking/IT Incident,Network Server
Gillette Children's Specialty Healthcare,MN,Healthcare Provider,542.0,9/29/2023,Hacking/IT Incident,Network Server
Mt. Graham Regional Medical Center,AZ,Healthcare Provider,35688.0,9/29/2023,Hacking/IT Incident,Network Server
"Georgia Northside Ear, Nose, and Throat, LLC.",TX,Healthcare Provider,37774.0,9/29/2023,Hacking/IT Incident,Email
Greater Dallas Healthcare Enterprises,TX,Healthcare Provider,143833.0,9/29/2023,Hacking/IT Incident,Email
South Florida Behavioral Health Network dba Thriving Mind South Florida,FL,Business Associate,258126.0,9/29/2023,Hacking/IT Incident,Network Server
"Hospice of the Bluegrass, Inc. dba Bluegrass Care Navigators",KY,Healthcare Provider,7664.0,9/26/2023,Hacking/IT Incident,Email
"Entertainment Community Fund, dba Actors Fund Home",NJ,Healthcare Provider,1110.0,9/26/2023,Hacking/IT Incident,Network Server
Riverdale Mental Health d/b/a Mosaic Mental Health ,NY,Healthcare Provider,7281.0,9/25/2023,Hacking/IT Incident,Network Server
"Tangoe, Inc.",IN,Health Plan,4765.0,9/25/2023,Hacking/IT Incident,Network Server
Cook County Health and Hospitals System,IL,Healthcare Provider,1248546.0,9/24/2023,Hacking/IT Incident,Network Server
"OrthoAlaska, LLC",AK,Healthcare Provider,176203.0,9/22/2023,Hacking/IT Incident,Network Server
"Allegheny County, Pennsylvania",PA,Business Associate,1505.0,9/22/2023,Hacking/IT Incident,Network Server
Blue Cross Blue Shield of Texas,IL,Business Associate,3708.0,9/22/2023,Unauthorized Access/Disclosure,Paper/Films
Clover Health LLC,NJ,Health Plan,2834.0,9/22/2023,Unauthorized Access/Disclosure,Network Server
Indiana University Health,IN,Healthcare Provider,4194.0,9/22/2023,Hacking/IT Incident,Network Server
"Health First, Inc.",FL,Healthcare Provider,14171.0,9/22/2023,Hacking/IT Incident,Email
Wellstar Health System,GA,Healthcare Provider,779.0,9/21/2023,Hacking/IT Incident,Network Server
Lakeview Clinic ,MN,Healthcare Provider,624.0,9/21/2023,Unauthorized Access/Disclosure,Email
"Arkansas Total Care, Inc.",AR,Health Plan,578.0,9/21/2023,Hacking/IT Incident,Network Server
Elevate Patient Financial Solutions,TX,Business Associate,5364.0,9/20/2023,Unauthorized Access/Disclosure,Paper/Films
Virginia Department of Medical Assistance Services,VA,Health Plan,1229333.0,9/18/2023,Hacking/IT Incident,Network Server
"Erlanger Health, Inc.",TN,Healthcare Provider,2753.0,9/18/2023,Hacking/IT Incident,Network Server
"Nuance Communications, Inc.",MA,Business Associate,1225054.0,9/15/2023,Hacking/IT Incident,Network Server
Oak Valley Hospital District,CA,Healthcare Provider,284629.0,9/15/2023,Hacking/IT Incident,Network Server
"Temple University Health System,Inc.",PA,Healthcare Provider,431563.0,9/15/2023,Hacking/IT Incident,Network Server
Omnicell Specialty Pharmacy Services (OSPS),TX,Business Associate,661.0,9/15/2023,Hacking/IT Incident,Email
"Founder Project Rx, Inc.",TX,Healthcare Provider,30836.0,9/15/2023,Hacking/IT Incident,Email
Peach State Health Plan,GA,Health Plan,1246.0,9/15/2023,Hacking/IT Incident,Network Server
Advocates for a Healthy Community Inc dba Jordan Valley Community Health Center,MO,Healthcare Provider,2502.0,9/15/2023,Unauthorized Access/Disclosure,Electronic Medical Record
VA Department of Medical Assistance Services,VA,Health Plan,928.0,9/14/2023,Hacking/IT Incident,Network Server
Sutter North Surgery Center ,CA,Healthcare Provider,861.0,9/8/2023,Hacking/IT Incident,Network Server
Laboratory Corporation of America Holdings dba LabCorp,NC,Healthcare Provider,1431.0,9/8/2023,Unauthorized Access/Disclosure,Paper/Films
Ryders Health Management LLC ,CT,Healthcare Provider,7252.0,9/7/2023,Hacking/IT Incident,Network Server
Coos Health & Wellness,OR,Healthcare Provider,22115.0,9/7/2023,Hacking/IT Incident,Network Server
"United Healthcare Services, Inc. Single Affiliated Covered Entity",CT,Health Plan,315915.0,9/7/2023,Unauthorized Access/Disclosure,Network Server
Roseman University of Health Sciences,NV,Healthcare Provider,4622.0,9/6/2023,Hacking/IT Incident,Network Server
Amerita,KS,Healthcare Provider,219707.0,9/5/2023,Hacking/IT Incident,Network Server
Bienville Orthopaedic Specialists LLC,MS,Healthcare Provider,242986.0,9/5/2023,Hacking/IT Incident,Network Server
"Georgia Hand, Shoulder & Elbow, PC",GA,Healthcare Provider,20498.0,9/1/2023,Hacking/IT Incident,Email
Bloom Health Centers,MD,Healthcare Provider,1545.0,9/1/2023,Hacking/IT Incident,Email
"MedMinder Systems, Inc.",MA,Healthcare Provider,12146.0,9/1/2023,Hacking/IT Incident,Network Server
"Enzo Clinical Labs, Inc.",NY,Healthcare Provider,1700.0,8/31/2023,Hacking/IT Incident,Network Server
"Mountain View Family Practice, PC",MA,Healthcare Provider,5139.0,8/31/2023,Hacking/IT Incident,"Electronic Medical Record, Network Server"
Indiana University Health,IN,Health Plan,1191.0,8/31/2023,Hacking/IT Incident,Network Server
TTEC Healthcare Solutions ,CO,Business Associate,2953.0,8/30/2023,Unauthorized Access/Disclosure,Network Server
"O'Neil Digital Solutions, LLC ",CA,Business Associate,1722.0,8/30/2023,Unauthorized Access/Disclosure,Paper/Films
Associates in Pediatric Dentistry,LA,Healthcare Provider,9556.0,8/25/2023,Hacking/IT Incident,Email
Data Media Associates,GA,Business Associate,100644.0,8/24/2023,Hacking/IT Incident,Network Server
Detroit Central City Community Mental Health,MI,Healthcare Provider,1412.0,8/24/2023,Hacking/IT Incident,Email
"IEC Group, Inc. dba AmeriBen",ID,Business Associate,74884.0,8/24/2023,Unauthorized Access/Disclosure,Email
Milan Eye Center,GA,Healthcare Provider,67336.0,8/23/2023,Hacking/IT Incident,Network Server
PRIME THERAPEUTICS LLC,MN,Business Associate,6050.0,8/23/2023,Hacking/IT Incident,Network Server
Vecino Health Centers,TX,Healthcare Provider,1339.0,8/22/2023,Hacking/IT Incident,Network Server
Serco Inc. Group Health Plan,VA,Health Plan,10140.0,8/22/2023,Hacking/IT Incident,Network Server
Absolute Dental Services,NC,Business Associate,10037.0,8/21/2023,Hacking/IT Incident,Email
McAlester Regional Health Center,OK,Healthcare Provider,37731.0,8/21/2023,Hacking/IT Incident,Network Server
The University of Massachusetts Chan Medical School,MA,Business Associate,135394.0,8/21/2023,Hacking/IT Incident,Network Server
Health Care Service Corporation,IL,Health Plan,220913.0,8/21/2023,Hacking/IT Incident,Network Server
Illinois Department of Public Health,IL,Healthcare Provider,126000.0,8/18/2023,Hacking/IT Incident,Network Server
UofL Health ,KY,Healthcare Provider,8175.0,8/18/2023,Hacking/IT Incident,Network Server
Morris Hospital & Healthcare Centers,IL,Healthcare Provider,256568.0,8/17/2023,Hacking/IT Incident,Network Server
The Harris Center for Mental Health and IDD,TX,Healthcare Provider,599367.0,8/17/2023,Hacking/IT Incident,Network Server
Blue Cross Blue Shield of Arizona,AZ,Health Plan,47485.0,8/17/2023,Hacking/IT Incident,Network Server
"SysInformation Healthcare Services, LLC",TX,Business Associate,537987.0,8/17/2023,Hacking/IT Incident,Network Server
"United Healthcare Services, Inc. Single Affiliated Covered Entity",CT,Health Plan,527.0,8/17/2023,Hacking/IT Incident,Network Server
"Baesman Group, Inc.",OH,Business Associate,1170094.0,8/17/2023,Hacking/IT Incident,Network Server
SUNY at Buffalo School of Dental Medicine,NY,Healthcare Provider,765.0,8/16/2023,Hacking/IT Incident,Network Server
A-Family Dental Care Center PC,PA,Healthcare Provider,2800.0,8/16/2023,Unauthorized Access/Disclosure,Network Server
"Kennedy University Hospital, Inc. t/a Jefferson Health ",NJ,Healthcare Provider,4140.0,8/15/2023,Loss,Other Portable Electronic Device
Performance Health Technology,OR,Business Associate,1752076.0,8/15/2023,Hacking/IT Incident,Network Server
University of Utah Health,UT,Health Plan,8606.0,8/15/2023,Hacking/IT Incident,Network Server
Monocacy Valley Dental,MD,Healthcare Provider,4000.0,8/15/2023,Theft,Laptop
"Nice Pak Products Inc., Health and Welfare Benefits Plan",NJ,Health Plan,8487.0,8/14/2023,Hacking/IT Incident,Network Server
"United Bankshares, Inc.",DC,Business Associate,8801.0,8/11/2023,Hacking/IT Incident,Network Server
"American National Group, LLC",TX,Health Plan,47711.0,8/11/2023,Hacking/IT Incident,Network Server
Colorado Department of Health Care Policy & Financing,CO,Health Plan,4091794.0,8/11/2023,Hacking/IT Incident,Network Server
Three Crowns Park,IL,Healthcare Provider,516.0,8/11/2023,Hacking/IT Incident,Email
EMS Management and Consultants Inc,NC,Business Associate,223598.0,8/10/2023,Hacking/IT Incident,Network Server
iTrust Wellness Group,SC,Healthcare Provider,981.0,8/10/2023,Hacking/IT Incident,Email
Madera County,CA,Health Plan,1446.0,8/9/2023,Unauthorized Access/Disclosure,Email
Virginia Department of Medical Assistance Services,VA,Health Plan,423824.0,8/9/2023,Hacking/IT Incident,Network Server
PCC Pediatric EHR Solutions,VT,Business Associate,520.0,8/9/2023,Unauthorized Access/Disclosure,Email
Sovos Compliance LLC,MA,Business Associate,18261.0,8/8/2023,Hacking/IT Incident,Network Server
Lurie Childrenâ€™s Surgical Foundation ,IL,Healthcare Provider,1997.0,8/8/2023,Hacking/IT Incident,Network Server
Harris Eye Care,MI,Healthcare Provider,6267.0,8/8/2023,Hacking/IT Incident,Network Server
Premera Blue Cross,WA,Health Plan,33212.0,8/8/2023,Hacking/IT Incident,Network Server
Spinal and Sports Care Clinic PS,WA,Healthcare Provider,1136.0,8/8/2023,Hacking/IT Incident,Network Server
Missouri Department of Social Services,MO,Health Plan,739884.0,8/7/2023,Hacking/IT Incident,Network Server
Redwood Coast Regional Center,CA,Healthcare Provider,1345.0,8/7/2023,Unauthorized Access/Disclosure,Email
Cranberry Township Emergency Medical Service,PA,Healthcare Provider,1247.0,8/7/2023,Hacking/IT Incident,Network Server
"Gary Motykie, M.D., a Medical Corporation ",CA,Healthcare Provider,3400.0,8/5/2023,Hacking/IT Incident,Email
Radius Global Solutions,MN,Business Associate,632204.0,8/4/2023,Hacking/IT Incident,Network Server
"Maximus, Inc.",VA,Business Associate,9179390.0,8/4/2023,Hacking/IT Incident,Network Server
Indiana University Health,IN,Health Plan,21383.0,8/4/2023,Hacking/IT Incident,Network Server
Capital Neurological Surgeons,CA,Healthcare Provider,1769.0,8/4/2023,Hacking/IT Incident,Email
Brigham and Women's Hospital,MA,Healthcare Provider,987.0,8/4/2023,Unauthorized Access/Disclosure,Network Server
City of Dallas,TX,Health Plan,5058.0,8/3/2023,Hacking/IT Incident,Network Server
Cognizant Technologies Solutions,TX,Business Associate,7313.0,8/3/2023,Hacking/IT Incident,Network Server
"Advanced Care Partners, LLC",GA,Healthcare Provider,518.0,8/3/2023,Unauthorized Access/Disclosure,Email
Plumbers Local 8 Health & Welfare Fund,MO,Health Plan,4790.0,8/2/2023,Hacking/IT Incident,Email
"Grane Supply, Inc.",PA,Healthcare Provider,798.0,8/1/2023,Unauthorized Access/Disclosure,Email
"The Health Plan of West Virginia, Inc.",WV,Health Plan,1292.0,8/1/2023,Hacking/IT Incident,Network Server
Johns Hopkins Health System Corporation,MD,Business Associate,2584.0,7/31/2023,Hacking/IT Incident,Network Server
Howard County General Hospital,MD,Healthcare Provider,2975.0,7/31/2023,Hacking/IT Incident,Network Server
Synergy Healthcare Services,GA,Business Associate,296956.0,7/31/2023,Hacking/IT Incident,Network Server
UC Davis Health,CA,Healthcare Provider,3201.0,7/28/2023,Hacking/IT Incident,Email
Baylor College of Medicine,TX,Healthcare Provider,505.0,7/28/2023,Hacking/IT Incident,Network Server
"Dean Health Service Company, LLC (referenced herein as ""WellFirst Health"")",MN,Business Associate,1027.0,7/28/2023,Hacking/IT Incident,Network Server
"United Healthcare Services, Inc. Single Affiliated Covered Entity",CT,Health Plan,398319.0,7/28/2023,Hacking/IT Incident,Network Server
Jefferson County Health Center,IA,Healthcare Provider,53827.0,7/28/2023,Hacking/IT Incident,Network Server
The Chattanooga Heart Institute,TN,Healthcare Provider,545491.0,7/28/2023,Hacking/IT Incident,Network Server
Allegheny County ,PA,Healthcare Provider,689686.0,7/28/2023,Hacking/IT Incident,Network Server
Centers for Medicare & Medicaid Services,MD,Health Plan,2342357.0,7/28/2023,Hacking/IT Incident,Network Server
Gladden Farms Family Dentistry,AZ,Healthcare Provider,3085.0,7/27/2023,Hacking/IT Incident,Network Server
CareSource,OH,Business Associate,3180537.0,7/27/2023,Unauthorized Access/Disclosure,Network Server
Saint Francis Health System,OK,Healthcare Provider,18911.0,7/26/2023,Hacking/IT Incident,Network Server
"Hillsborough County, Florida (County Government)",FL,Healthcare Provider,70636.0,7/26/2023,Hacking/IT Incident,Network Server
"Life Management Center of Northwest Florida, Inc. ",FL,Healthcare Provider,19107.0,7/25/2023,Hacking/IT Incident,Network Server
"BlueCross BlueShield of Tennessee, Inc.",TN,Business Associate,2688.0,7/25/2023,Unauthorized Access/Disclosure,Paper/Films
Johns Hopkins Medicine,MD,Healthcare Provider,310405.0,7/25/2023,Hacking/IT Incident,Network Server
UT Southwestern Medical Center,TX,Healthcare Provider,98437.0,7/24/2023,Hacking/IT Incident,Network Server
Sutter Senior Care ,CA,Healthcare Provider,519.0,7/22/2023,Hacking/IT Incident,Network Server
Paramedic Billing Services,IL,Healthcare Clearing House,93610.0,7/21/2023,Hacking/IT Incident,Network Server
Harris County Hospital District d/b/a Harris Health System ,TX,Healthcare Provider,455676.0,7/21/2023,Hacking/IT Incident,Network Server
"Batesville Tool & Die, Inc.",IN,Health Plan,4549.0,7/21/2023,Hacking/IT Incident,Network Server
Pennsylvania Department of Human Services,PA,Healthcare Provider,11687.0,7/21/2023,Hacking/IT Incident,Network Server
Rite Aid Corporation ,PA,Healthcare Provider,23433.0,7/19/2023,Hacking/IT Incident,Network Server
Physicians Insurance A Mutual Company ,WA,Business Associate,1852.0,7/19/2023,Hacking/IT Incident,Email
