Name of Covered Entity,State,Covered Entity Type,Individuals Affected,Breach Submission Date,Type of Breach,Location of Breached Information
"PartsSource, Inc. Welfare Benefit Plan",OH,Health Plan,1474,5/19/2023,Hacking/IT Incident,Network Server
Tennessee Orthopaedic Clinics ,TN,Healthcare Provider,46679,5/19/2023,Hacking/IT Incident,Network Server
"Hiawatha Harris MD, Inc. dba Pathways to Wellness Medication Clinics",CA,Healthcare Provider,9182,5/18/2023,Hacking/IT Incident,Network Server
"Marshall Information Services, LLC dba Primary Solutions ",OH,Business Associate,7456,5/18/2023,Hacking/IT Incident,Network Server
University of Missouri Health Care ,MO,Healthcare Provider,736,5/17/2023,Unauthorized Access/Disclosure,Electronic Medical Record
Clarke County Hospital   ,IA,Healthcare Provider,28003,5/17/2023,Hacking/IT Incident,Network Server
"State of New Jersey Department of Human Services, Division of Medical Assistance and Health Services",NJ,Health Plan,552,5/16/2023,Unauthorized Access/Disclosure,Network Server
Buckeye Health Plan,OH,Health Plan,686,5/16/2023,Unauthorized Access/Disclosure,Email
"Essen Medical Associates, P.C.",NY,Healthcare Provider,500,5/16/2023,Hacking/IT Incident,Network Server
Fertility Specialists Medical Group,CA,Healthcare Provider,9197,5/15/2023,Hacking/IT Incident,Network Server
Lehigh Valley Health Network (blackcat),PA,Healthcare Provider,248359,5/15/2023,Hacking/IT Incident,Network Server
R&B Corporation of Virginia d/b/a Credit Control Corporation,VA,Business Associate,607787,5/13/2023,Hacking/IT Incident,Network Server
PharMerica Corporation,KY,Healthcare Provider,5815591,5/12/2023,Hacking/IT Incident,Network Server
Great Expressions Dental Centers,MI,Healthcare Provider,1925397,5/12/2023,Hacking/IT Incident,Network Server
"Sesame, Inc.",NY,Business Associate,1809,5/12/2023,Unauthorized Access/Disclosure,Network Server
"Illinois Department of Healthcare and Family Services, Illinois Department of Human Services",IL,Health Plan,50839,5/12/2023,Hacking/IT Incident,Network Server
Solutran,MN,Business Associate,17728,5/12/2023,Hacking/IT Incident,Network Server
Health Benefit Plan of the Anchorage School District,AK,Health Plan,4598,5/12/2023,Theft,Laptop
"United Healthcare Services, Inc. Single Affiliated Covered Entity",CT,Health Plan,1116,5/12/2023,Unauthorized Access/Disclosure,Email
Catholic Health System,NY,Healthcare Provider,12759,5/11/2023,Unauthorized Access/Disclosure,Electronic Medical Record
"IMA Financial Group, Inc.",KS,Business Associate,5242,5/10/2023,Hacking/IT Incident,Network Server
Uintah Basin Healthcare,UT,Healthcare Provider,103974,5/10/2023,Hacking/IT Incident,Network Server
"Brightline, Inc.",CA,Business Associate,28975,5/10/2023,Hacking/IT Incident,Network Server
Smile Doctors of Arizona dba Grinz Orthodontics,AZ,Healthcare Provider,1034,5/9/2023,Theft,Desktop Computer
"ASAS Health, LLC",TX,Healthcare Provider,25527,5/6/2023,Hacking/IT Incident,Network Server
"United Healthcare Services, Inc. Single Affiliated Covered Entity",CT,Health Plan,1971,5/5/2023,Unauthorized Access/Disclosure,Network Server
"United Healthcare Services, Inc. Single Affiliated Covered Entity",CT,Health Plan,26561,5/5/2023,Hacking/IT Incident,Network Server
"Our Sunday Visitor, Inc.",IN,Health Plan,965,5/5/2023,Hacking/IT Incident,Network Server
People Incorporated of Sequoyah County,OK,Healthcare Provider,8725,5/5/2023,Hacking/IT Incident,Network Server
New Mexico Department of Health,NM,Healthcare Provider,49000,5/4/2023,Unauthorized Access/Disclosure,Network Server
Methodist Family Health,AR,Healthcare Provider,5259,5/3/2023,Hacking/IT Incident,Network Server
Northwest Health â€“ La Porte,IN,Healthcare Provider,10256,5/2/2023,Unauthorized Access/Disclosure,Paper/Films
Oyate Health Center,SD,Healthcare Provider,575,5/2/2023,Improper Disposal,Paper/Films
Herbert J. Thomas Memorial Hospital Association dba Thomas Memorial Hospital ,WV,Healthcare Provider,2492,5/2/2023,Hacking/IT Incident,Network Server
Saint Louis University,MO,Healthcare Provider,48392,5/1/2023,Hacking/IT Incident,Email
University Urology,NY,Healthcare Provider,56816,5/1/2023,Hacking/IT Incident,Network Server
Summit Eye & Optical,NJ,Healthcare Provider,5727,5/1/2023,Hacking/IT Incident,Network Server
ReDiscover Mental Health,MO,Healthcare Provider,877,5/1/2023,Unauthorized Access/Disclosure,Email
"Brightside Health, Inc.",CA,Healthcare Provider,767,4/30/2023,Unauthorized Access/Disclosure,"Electronic Medical Record, Other"
Link Audiology LLC,WA,Healthcare Provider,2608,4/28/2023,Hacking/IT Incident,Email
"HealthPlan Services, Inc.",FL,Business Associate,9650,4/28/2023,Hacking/IT Incident,Network Server
"Grohler Hearing Aid Center, INC DBA Beltone Hearing Aid Centers",VA,Healthcare Provider,5272,4/28/2023,Hacking/IT Incident,Email
Allina Health,MN,Healthcare Provider,1042,4/28/2023,Unauthorized Access/Disclosure,Network Server
"Unlimited Care, Inc. ",NY,Healthcare Provider,8453,4/27/2023,Hacking/IT Incident,Network Server
Delphi Drug & Alcohol Council,NY,Healthcare Provider,6288,4/27/2023,Hacking/IT Incident,Email
"University of California, San Francisco",CA,Healthcare Provider,676,4/26/2023,Hacking/IT Incident,Email
"CounSol, LLC",FL,Business Associate,4277,4/25/2023,Unauthorized Access/Disclosure,Network Server
Lake County Health Department and Community Health Center,IL,Healthcare Provider,23376,4/25/2023,Hacking/IT Incident,Email
Mars Area School District  ,PA,Health Plan,1270,4/24/2023,Hacking/IT Incident,Network Server
"Upstream RollCo, LLC",AL,Healthcare Provider,748678,4/22/2023,Hacking/IT Incident,Email
Robeson Health Care Corporation,NC,Healthcare Provider,62627,4/21/2023,Hacking/IT Incident,Network Server
"Brightline, Inc.",CA,Business Associate,180694,4/20/2023,Hacking/IT Incident,Network Server
Upper Peninsula Health Plan ,MI,Health Plan,833,4/20/2023,Hacking/IT Incident,Network Server
Modern Cardiology Associates,,Healthcare Provider,10000,4/19/2023,Hacking/IT Incident,Network Server
Graceworks Lutheran Services,OH,Healthcare Provider,6737,4/19/2023,Hacking/IT Incident,Network Server
Morgan Stanley,NY,Health Plan,535,4/18/2023,Unauthorized Access/Disclosure,Paper/Films
Integrated Medical Services,AZ,Healthcare Provider,6591,4/17/2023,Unauthorized Access/Disclosure,Paper/Films
"Ethan Health, LLC",KY,Healthcare Provider,4047,4/14/2023,Hacking/IT Incident,Email
MiniMed Distribution Corp.,CA,Healthcare Provider,58374,4/14/2023,Unauthorized Access/Disclosure,Network Server
Dallas County,TX,Healthcare Provider,501,4/14/2023,Improper Disposal,Desktop Computer
United Steelworkers Local 286,PA,Health Plan,37965,4/14/2023,Hacking/IT Incident,Email
Two Rivers Public Health Department,NE,Healthcare Provider,15168,4/14/2023,Hacking/IT Incident,Email
Presence Healthcare Services dba Presence Medical Group ,IL,Healthcare Provider,921,4/14/2023,Unauthorized Access/Disclosure,Paper/Films
Henry County Hospital,OH,Healthcare Provider,3689,4/14/2023,Hacking/IT Incident,Network Server
"Brightline, Inc.",CA,Business Associate,49968,4/13/2023,Hacking/IT Incident,Network Server
"NationsBenefits Holdings, LLC",FL,Business Associate,3099502,4/13/2023,Hacking/IT Incident,Network Server
John Muir Health - Walnut Creek Medical Center,CA,Healthcare Provider,821,4/13/2023,Unauthorized Access/Disclosure,Network Server
Multnomah County Health Department,OR,Healthcare Provider,2719,4/12/2023,Theft,Paper/Films
Cummins Behavioral Health Systems,IN,Healthcare Provider,154285,4/12/2023,Hacking/IT Incident,Network Server
"Pathway Healthcare, LLC",AL,Healthcare Provider,1304,4/11/2023,Unauthorized Access/Disclosure,Email
"Retina & Vitreous of Texas, PLLC",TX,Healthcare Provider,35766,4/10/2023,Hacking/IT Incident,Network Server
Yukon Kuskokwim Health Corporation ,AK,Healthcare Provider,51787,4/10/2023,Hacking/IT Incident,Network Server
"St. Vincentâ€™s Ambulatory Care, Inc.",FL,Healthcare Provider,768,4/10/2023,Unauthorized Access/Disclosure,Electronic Medical Record
Iowa Department of Health and Human Services - Iowa Medicaid Enterprise,IA,Health Plan,20815,4/10/2023,Hacking/IT Incident,Network Server
"La ClÃ­nica de La Raza, Inc.",CA,Healthcare Provider,15316,4/7/2023,Hacking/IT Incident,Email
"Brightline, Inc.",CA,Business Associate,199753,4/7/2023,Hacking/IT Incident,Network Server
"Brightline, Inc.",CA,Business Associate,21830,4/7/2023,Hacking/IT Incident,Network Server
Gretna Family Health,NE,Healthcare Provider,845,4/7/2023,Hacking/IT Incident,Network Server
"Brightline, Inc.",CA,Business Associate,7411,4/7/2023,Hacking/IT Incident,Network Server
"Brightline, Inc.",CA,Business Associate,31440,4/7/2023,Hacking/IT Incident,Network Server
"Brightline, Inc.",CA,Business Associate,4044,4/7/2023,Hacking/IT Incident,Network Server
"Brightline, Inc.",CA,Business Associate,473467,4/7/2023,Hacking/IT Incident,Network Server
"Brightline, Inc.",CA,Business Associate,7672,4/7/2023,Hacking/IT Incident,Network Server
Centers for Medicare & Medicaid Services,MD,Health Plan,10011,4/7/2023,Unauthorized Access/Disclosure,Paper/Films
"St. Luke's Health System, Ltd. ",ID,Healthcare Provider,15246,4/6/2023,Unauthorized Access/Disclosure,Paper/Films
California Physiciansâ€™ Services dba Blue Shield of California,CA,Health Plan,1553,4/5/2023,Hacking/IT Incident,Network Server
NORTHEAST BEHAVIORAL HEALTH CARE CONSORTIUM,PA,Health Plan,13240,4/5/2023,Hacking/IT Incident,Email
"WellBe Senior Medical, LLC",IL,Business Associate,42020,4/4/2023,Hacking/IT Incident,Network Server
California Physicians' Services d/b/a Blue Shield of California,CA,Business Associate,61788,4/4/2023,Hacking/IT Incident,Network Server
Banis Plastic Surgery,KY,Healthcare Provider,4498,4/4/2023,Unauthorized Access/Disclosure,Email
Chippewa County,WI,Healthcare Provider,842,4/4/2023,Hacking/IT Incident,Network Server
Southwest Healthcare Services,ND,Healthcare Provider,15996,4/1/2023,Hacking/IT Incident,Network Server
"Tallahassee Memorial Healthcare, Inc.",FL,Healthcare Provider,20376,3/31/2023,Hacking/IT Incident,Network Server
"Monument, Inc.",NY,Business Associate,108584,3/31/2023,Unauthorized Access/Disclosure,Network Server
"WellBe Senior Medical, LLC",IL,Healthcare Provider,19567,3/30/2023,Hacking/IT Incident,Network Server
Santa Clara Family Health Plan,CA,Health Plan,276993,3/30/2023,Hacking/IT Incident,Network Server
Aspire Health Partners ,FL,Healthcare Provider,1005,3/29/2023,Improper Disposal,Paper/Films
"UHS of Delaware, Inc. ",PA,Business Associate,40290,3/29/2023,Hacking/IT Incident,Email
"Nonstop Administration and Insurance Services, Inc.",PA,Business Associate,10504,3/27/2023,Hacking/IT Incident,Network Server
"American Pain and Wellness, PLLC",TX,Healthcare Provider,7457,3/24/2023,Hacking/IT Incident,Network Server
NewBridge Services,NJ,Healthcare Provider,1457,3/24/2023,Hacking/IT Incident,Network Server
Adams County Children and Youth Services,PA,Healthcare Provider,722,3/24/2023,Hacking/IT Incident,Email
Atlantic General Hospital,MD,Healthcare Provider,132817,3/24/2023,Hacking/IT Incident,Network Server
Frideres Dental LLC,OR,Healthcare Provider,1596,3/24/2023,Hacking/IT Incident,Email
New Medical Healthcare,KS,Healthcare Provider,1557,3/22/2023,Unauthorized Access/Disclosure,Email
US Wellness Inc.,MD,Business Associate,15818,3/22/2023,Hacking/IT Incident,Network Server
Atlantic Dialysis Management Services - Mattoo and Bhat Medical Associates ,NY,Business Associate,3851,3/22/2023,Hacking/IT Incident,Network Server
Atlantic Dialysis Management Services - West Nassau Dialysis Center Inc. ,NY,Business Associate,795,3/22/2023,Hacking/IT Incident,Network Server
Atlantic Dialysis Management Services - Springfield Dialysis Center ,NY,Business Associate,922,3/22/2023,Hacking/IT Incident,Network Server
Atlantic Dialysis Management Services - Ridgewood Dialysis Center Inc.,NY,Business Associate,2204,3/22/2023,Hacking/IT Incident,Network Server
Atlantic Dialysis Management Services -  Prospect Park Dialysis Center,NY,Business Associate,563,3/22/2023,Hacking/IT Incident,Network Server
Atlantic Dialysis Management Services - Newtown Dialysis Center Inc.  ,NY,Business Associate,970,3/22/2023,Hacking/IT Incident,Network Server
Atlantic Dialysis Management Services - New York Renal Associates ,NY,Business Associate,1126,3/22/2023,Hacking/IT Incident,Network Server
Atlantic Dialysis Management Services - New Hyde Park Dialysis Center LLC ,NY,Business Associate,1119,3/22/2023,Hacking/IT Incident,Network Server
Atlantic Dialysis Management Services - Morrisania Dialysis Center  ,NY,Business Associate,653,3/22/2023,Hacking/IT Incident,Network Server
Atlantic Dialysis Management Services - East End Dialysis Center LLC ,NY,Business Associate,745,3/22/2023,Hacking/IT Incident,Network Server
Atlantic Dialysis Management Services - Central Park Dialysis Center  ,NY,Business Associate,1345,3/22/2023,Hacking/IT Incident,Network Server
Atlantic Dialysis Management Services - Central Brooklyn Dialysis Center LLC ,NY,Business Associate,1052,3/22/2023,Hacking/IT Incident,Network Server
Atlantic Dialysis Management Services - Broadway Dialysis Center  ,NY,Business Associate,776,3/21/2023,Hacking/IT Incident,Network Server
Atlantic Dialysis Management Services,NY,Business Associate,3851,3/21/2023,Hacking/IT Incident,Network Server
"Yardley Dermatology Associates, PC",PA,Healthcare Provider,523,3/21/2023,Unauthorized Access/Disclosure,Email
"McAllen Hospitals, LP d/b/a South Texas Health System",TX,Healthcare Provider,134634,3/20/2023,Hacking/IT Incident,Email
NewYork-Presbyterian Hospital,NY,Healthcare Provider,54396,3/20/2023,Unauthorized Access/Disclosure,Network Server
"Integrated Supports for Living, Inc.",OR,Healthcare Provider,1161,3/20/2023,Hacking/IT Incident,Network Server
Majestic Care Middletown Assisted Living LLC,IN,Healthcare Provider,2636,3/17/2023,Hacking/IT Incident,Network Server
"OU Medicine, Inc. d/b/a OU Health",OK,Healthcare Provider,3013,3/17/2023,Theft,Laptop
Health Plan of San Mateo,CA,Health Plan,11894,3/17/2023,Hacking/IT Incident,Email
Associates in Dermatology,KY,Healthcare Provider,12060,3/17/2023,Hacking/IT Incident,Network Server
"Community Health Systems Professional Services Corporations (CHSPSC), LLC",TN,Business Associate,962884,3/16/2023,Hacking/IT Incident,Network Server
UC San Diego Health ,CA,Healthcare Provider,22971,3/16/2023,Unauthorized Access/Disclosure,Network Server
"AllCare Plus Pharmacy, Inc.",MA,Healthcare Provider,757,3/15/2023,Hacking/IT Incident,Email
Healthy Options dba Postal Prescription Services â€“ Kroger ,OH,Healthcare Provider,82466,3/15/2023,Unauthorized Access/Disclosure,Network Server
Merritt Healthcare Advisors,CT,Business Associate,88740,3/15/2023,Hacking/IT Incident,Email
California Department of Health Care Services,CA,Health Plan,6460,3/14/2023,Unauthorized Access/Disclosure,Paper/Films
Top of the World Ranch Treatment Center,IL,Healthcare Provider,1980,3/14/2023,Hacking/IT Incident,Email
NorthStar Emergency Medical Services,AL,Healthcare Provider,82450,3/14/2023,Hacking/IT Incident,Network Server
Beach District Surgery Center,CA,Healthcare Provider,3560,3/13/2023,Hacking/IT Incident,Email
"Bone & Joint Clinic, S.C.",WI,Healthcare Provider,105094,3/13/2023,Hacking/IT Incident,Network Server
"Ryu Physical Therapy, P.C.",CA,Healthcare Provider,500,3/11/2023,Unauthorized Access/Disclosure,Electronic Medical Record
ZOLL Services LLC ,MA,Healthcare Provider,997097,3/10/2023,Hacking/IT Incident,Network Server
"Florida Medical Clinic, LLC",FL,Healthcare Provider,94132,3/10/2023,Hacking/IT Incident,Network Server
"Colquitt Complete Care, LLC",GA,Healthcare Provider,1282,3/10/2023,Hacking/IT Incident,Network Server
"Arizona Department of Economic Security, Division of Developmental Disabilities",AZ,Healthcare Provider,857,3/10/2023,Unauthorized Access/Disclosure,Paper/Films
Beacon Health System,IN,Healthcare Provider,3304,3/10/2023,Unauthorized Access/Disclosure,Electronic Medical Record
"Wichita Urology Group, PA",KS,Healthcare Provider,1493,3/8/2023,Hacking/IT Incident,Network Server
"EPIC Management, LLC",CA,Health Plan,1190,3/8/2023,Hacking/IT Incident,Email
Community Health Centers of Greater Dayton,OH,Healthcare Provider,516,3/8/2023,Unauthorized Access/Disclosure,Email
The M K Morse Company's Health Plan,OH,Health Plan,1378,3/8/2023,Hacking/IT Incident,Network Server
"SundaySky, Inc.",NY,Business Associate,37095,3/7/2023,Hacking/IT Incident,Network Server
Trinity Health,MI,Business Associate,45350,3/6/2023,Hacking/IT Incident,Email
The Chautauqua Center Inc.,NY,Healthcare Provider,745,3/6/2023,Unauthorized Access/Disclosure,Electronic Medical Record
"Northeast Surgical Group, PC",MI,Healthcare Provider,15298,3/6/2023,Hacking/IT Incident,Network Server
West Virginia University Board of Governors,WV,Healthcare Provider,2453,3/3/2023,Unauthorized Access/Disclosure,Network Server
Denver Public Schools Medical Plans,CO,Health Plan,35068,3/3/2023,Hacking/IT Incident,Network Server
Codman Square Health Center,MA,Healthcare Provider,10161,3/1/2023,Hacking/IT Incident,Network Server
"Cerebral, Inc",DE,Business Associate,3179835,3/1/2023,Unauthorized Access/Disclosure,Network Server
Texas Medical Liability Trust ,TX,Business Associate,2069,3/1/2023,Hacking/IT Incident,Network Server
Community Health Group ,CA,Health Plan,824,2/28/2023,Hacking/IT Incident,Network Server
Valera Health,NY,Healthcare Provider,2317,2/28/2023,Unauthorized Access/Disclosure,Email
